EmployeeID,Age,Department,DistanceFromHome,JobRole,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Attrition,PerformanceRating
E001,35,Sales,5,Sales Executive,5000,Yes,8,4,3,2,10,2,Yes,3
E002,40,Research & Development,10,Research Scientist,6000,No,15,3,2,1,20,3,No,4
E003,29,Human Resources,2,Human Resources,3500,Yes,3,1,1,3,5,1,Yes,2
E004, ,Sales,8,Sales Representative,4200,No,6,4,3,0,8,2,No,3
E005,45,Research & Development,15,Laboratory Technician,5500,Yes,12,2,2,4,25,4,Yes,3
E006,32,Sales,3,Sales Executive,4800,No,4,3,3,1,7,2,No,4
E007,28,Research & Development,1,Research Scientist,3200,Yes,2,1,1,2,4,1,Yes,2
E008,50,Human Resources,20,Manager,8000,No,25,4,4,5,30,5,No,4
E009,36,Sales,6,Sales Executive, 5100 ,Yes,9,3,2,2,12,3,Yes,3
E010,41,Research & Development,12,Research Scientist,6200,No,18,4,3,1,22,3,No,4
E011,27, ,4,Laboratory Technician,3800,Yes,5,2,1,3,6,2,Yes,2
E012,38,Sales,7,Sales Representative,4500,No,7,3,3,0,9,2,No,3
E013,33,Research & Development,9,Research Scientist,5300,Yes,10,2,2,2,15,3,Yes,3
E014,44,Human Resources,18,Human Resources,7000,No,20,4,4,4,28,4,No,4
E015,31,Sales,5,Sales Executive,4900,Yes,6,1,1,1,8,1,Yes,2
E016,39,Research & Development,11,Laboratory Technician,5700,No,14,3,3,3,18,4,No,4
E017,26,Sales,2,Sales Executive,4000,Yes,1,2,2,2,3,1,Yes,3
E018,47, ,16,Manager,7500,No,22,4,4,5,27,5,No,4
E019,34,Research & Development,8,Research Scientist,5400,Yes,11,3,2,1,14,3,Yes,3
E020,42,Sales,13,Sales Representative,4600,No,16,4,3,2,19,3,No,4
E021,30,Sales,9,Sales Executive,5200,No,5,3,3,1,8,2,No,3
E022,52,Research & Development,2,Manager,9500,No,20,4,3,3,30,3,No,4
E023,24,Sales,12,Sales Representative,3100,Yes,2,1,2,1,2,2,Yes,3
E024,43,Human Resources,6,Manager,8200,No,15,3,4,2,22,3,No,4
E025,37,Research & Development,4,Laboratory Technician,4800,Yes,10,2,2,4,15,2,No,3
E026,29,Sales,1,Sales Executive,4600,No,7,4,3,1,7,3,No,3
E027,33,Research & Development,18,Research Scientist,5900,Yes,8,2,1,2,11,1,Yes,2
E028,48,Sales,10,Sales Executive,7100,No,12,3,3,3,25,2,No,4
E029,22,Research & Development,3,Laboratory Technician,2900,Yes,1,1,1,1,1,2,Yes,2
E030,39,Human Resources,5,Human Resources,5100,No,10,4,3,2,15,3,No,3
E031,45,Research & Development,25,Research Scientist,6800,No,18,3,2,1,23,4,No,4
E032,31,Sales,7,Sales Executive,4950,Yes,6,2,2,2,9,2,Yes,3
E033,27,Sales,2,Sales Representative,3400,No,3,3,3,1,4,2,No,3
E034,55,Research & Development,1,Manager,11000,No,30,4,4,2,35,3,No,4
E035,36,Human Resources,8,Human Resources,4700,Yes,5,2,1,3,12,2,Yes,3
E036,41,Sales,14,Sales Executive,6200,No,15,3,3,4,20,3,No,4
