team_a_rank,team_b_rank,team_a_form,team_b_form,is_home_a,h2h_wins_a,injured_a,injured_b,attack_a,defense_a,attack_b,defense_b,goals_scored_last5_a,goals_conceded_last5_a,goals_scored_last5_b,goals_conceded_last5_b,weather_favorable_a,match_date,crowd_size,referee_experience,match_outcome
57,67,-0.671373519459885,0.5665957344899969,0,5,0.0,0,56.47394004958037,79.38478447119383,59.08013883410818,79.83985446614534,3,3,3,2,1,2023-01-01,28990,10,2
47,21,-0.7137994661386983,-0.16058190326942479,1,3,1.0,0,90.65199322206243,82.50224245203145,53.956619605997304,88.84583113774195,7,11,4,4,1,2023-01-02,29821,14,2
59,45,1.4254059323729322,0.4047481429082984,0,1,0.0,2,87.97664166866231,95.0,57.839110074121194,95.0,4,7,5,4,1,2023-01-03,32448,7,2
72,49,1.8644136638599977,0.35190906662870847,0,4,1.0,2,70.7836853790129,64.20664686349095,95.0,62.451135198261795,12,5,3,2,0,2023-01-04,45829,11,2
46,50,-0.9288824584101658,-0.5090206256342559,1,1,1.0,2,57.166367895018055,62.90292201781125,64.33488853297919,71.61284437423956,5,4,4,3,1,2023-01-05,46506,5,2
46,52,-0.6689944324397042,-0.35537987654727193,0,1,2.0,2,71.74035520613633,80.61805364820601,68.54044951401164,59.41165502426456,9,4,10,4,0,2023-01-06,24604,7,2
73,59,1.1425228195041448,0.6001271723512185,0,2,0.0,0,67.46197101835841,64.01026293448051,69.97192727634898,74.114561110066,3,3,7,5,0,2023-01-07,40086,15,2
61,49,0.5335199931423965,1.8120878086414012,1,0,1.0,2,64.1383481995869,47.245224242339575,75.07516532044883,74.23283699728154,10,5,6,2,1,2023-01-08,31037,9,0
42,44,0.6764281053209221,1.20681858130932,0,1,2.0,0,93.00933001951391,81.25857364685771,67.71434568748303,69.05923980625163,5,2,6,6,0,2023-01-09,29100,11,2
58,43,0.8966012948530571,-1.1291160561174003,1,4,0.0,0,76.85982441538007,62.359138873514404,72.75365766050729,48.28027592434205,4,8,9,5,1,2023-01-10,28065,10,0
43,40,-0.2407321617440756,-1.1255817392259106,0,2,0.0,0,80.85410508259217,78.55801992217947,86.98289257256674,57.64026264967383,5,2,5,8,1,2023-01-11,34831,12,2
43,61,0.32996992499018646,-0.5356313487682635,1,2,0.0,1,50.82888085569496,88.42759590082613,80.39139543994085,68.28836534066124,3,5,7,5,1,2023-01-12,17216,12,1
